society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
maa bhagwati residency,45.0,5000.0,2.0,2.0,1.0,4.0,West,Relatively New,2, Krishna Colony,4.0,0,0,0,0,900.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009
Apna Enclave,50.0,7692.0,2.0,2.0,1.0,1.0,West,Old Property,2, Ashok Vihar,3.0,0,0,0,0,650.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0065002600104004
tulsiani easy in homes,40.0,6722.0,2.0,2.0,3.0,12.0,,New Property,2, Sohna,14.0,0,0,0,0,595.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059506099375185
    Smart World Orchard    ,147.0,12250.0,2.0,2.0,2.0,2.0,,Under Construction,2, Sector 61 Gurgaon,4.0,0,1,0,0,1200.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,29,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012
Parkwood Westend,70.0,5204.0,2.0,2.0,3.0,5.0,,Under Construction,2, Sector 92 Gurgaon,8.0,0,1,0,0,,,1345.0,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134511913912375
Signature Global Infinity Mall,41.0,6269.0,2.0,2.0,3.0,3.0,,Undefined,2, Sector 36 Gurgaon,3.0,0,0,0,0,,654.0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065401180411548
The Cocoon,200.0,13333.0,3.0,3.0,3.0,5.0,,New Property,3, Dwarka Expressway Gurgaon,25.0,0,0,0,0,,,1500.0,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150003750093752
ATS Triumph,180.0,7860.0,3.0,4.0,3.0,14.0,,New Property,3, Sector 104 Gurgaon,27.0,0,0,0,0,2290.0,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,24,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229007633587786
Vatika XpreSS The Leafions,110.0,8148.0,2.0,4.0,3.0,2.0,North-East,Under Construction,2, Sector 88B Gurgaon,3.0,0,1,0,0,1050.0,1350.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135002454590083
Raheja Revanta,475.0,16885.0,3.0,3.0,2.0,31.0,,Under Construction,3, Sector 78 Gurgaon,40.0,1,0,0,0,,2813.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,37,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281314776428782
